noc_title,exposed_to_disease_infections,median_hourly_wage,physical_proximity,pop,occupation_type
"9212 Supervisors, petroleum, gas and chemical processing and utilities",0.005,30,0.645,3550,Other
"9213 Supervisors, food and beverage processing",0.005,27.1,0.645,3800,Other
"9214 Supervisors, plastic and rubber products manufacturing",0.005,20,0.645,1920,Other
"9215 Supervisors, forest products processing",0.005,30,0.645,835,Other
"9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0.005,20,0.645,495,Other
"9221 Supervisors, motor vehicle assembling",0.005,27.06,0.645,5480,Other
"9222 Supervisors, electronics manufacturing",0.005,25,0.645,795,Other
"9223 Supervisors, electrical products manufacturing",0.005,32,0.645,445,Other
"9224 Supervisors, furniture and fixtures manufacturing",0.005,24.78,0.645,885,Other
"9226 Supervisors, other mechanical and metal products manufacturing",0.005,28.85,0.645,1280,Other
"9227 Supervisors, other products manufacturing and assembly",0.005,22,0.645,1150,Other
"9415 Inspectors and testers, mineral and metal processing",0.0375,26,0.645,850,Other
"9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",0.0375,14,0.645,370,Other
3212 Medical laboratory technicians and pathologists' assistants,0.7675,23,0.6475,6770,Other
3219 Other medical technologists and technicians (except dental health),0.7675,20,0.6475,14420,Other
1435 Collectors,0.13,22,0.65,6075,Other
9416 Metalworking and forging machine operators,0.0125,18.75,0.65,6435,Other
"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0.03,40,0.6575,1535,Other
"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",0.1575,24.04,0.66,14520,Other
1526 Transportation route and crew schedulers,0.1575,24.04,0.66,2055,Other
"7302 Contractors and supervisors, heavy equipment operator crews",0.1575,35.53,0.66,8545,Other
"7304 Supervisors, railway transport operations",0.1575,36,0.66,465,Other
"7305 Supervisors, motor transport and other ground transit operators",0.1575,28,0.66,3205,Other
"0513 Recreation, sports and fitness program and service directors",0.135,28.85,0.6625,855,Other
4152 Social workers,0.3475,38,0.6625,16715,Other
"4167 Recreation, sports and fitness policy researchers, consultants and program officers",0.135,25.71,0.6625,2210,Other
"5254 Program leaders and instructors in recreation, sport and fitness",0.135,16,0.6625,15675,Other
7331 Oil and solid fuel heating mechanics,0.15,21.2,0.6625,425,Other
"4166 Education policy researchers, consultants and program officers",0.0925,35,0.665,2200,Other
8422 Silviculture and forestry workers,0.1725,21.14,0.665,265,Other
8616 Logging and forestry labourers,0.1725,25,0.665,180,Other
2242 Electronic service technicians (household and business equipment),0.0975,24.04,0.6675,15175,Other
7332 Appliance servicers and repairers,0.0975,21.35,0.6675,780,Other
7233 Sheet metal workers,0.0975,32,0.67,5180,Other
2222 Agricultural and fish products inspectors,0.18,32.46,0.675,510,Other
"9445 Fabric, fur and leather cutters",0,16,0.6775,535,Other
6541 Security guards and related security service occupations,0.1625,14.5,0.68,39790,Sales & Service
5221 Photographers,0.04,16.03,0.68,600,Other
7445 Other repairers and servicers,0.15,19.3,0.6825,2165,Other
7292 Glaziers,0.175,20,0.685,2490,Other
"7301 Contractors and supervisors, mechanic trades",0.185,31.25,0.685,5170,Other
9412 Foundry workers,0.075,18.5,0.685,855,Other
7532 Water transport deck and engine room crew,0.185,27.04,0.6875,250,Other
9526 Mechanical assemblers and inspectors,0.0025,24,0.6875,3540,Other
"9537 Other products assemblers, finishers and inspectors",0.0025,17,0.6875,8375,Other
7234 Boilermakers,0.1525,41.1,0.69,500,Other
7533 Boat and cable ferry operators and related occupations,0.215,25,0.69,160,Other
3132 Dietitians and nutritionists,0.7925,37.62,0.6925,3645,Other
7621 Public works and maintenance labourers,0.44,23,0.6925,5925,Other
9617 Labourers in food and beverage processing,0.055,14,0.6925,28605,Other
5252 Coaches,0.1175,16.2,0.7,290,Other
7281 Bricklayers,0.0025,37,0.7,7055,Other
7295 Floor covering installers,0.08,19.7,0.7,5305,Other
7314 Railway carmen/women,0.0725,30,0.7,745,Other
7452 Material handlers,0.025,17,0.7,66770,Other
4033 Educational counsellors,0.4925,32.42,0.7025,765,Other
4156 Employment counsellors,0.4925,26.37,0.7025,2860,Other
"9522 Motor vehicle assemblers, inspectors and testers",0.095,20.67,0.705,50160,Other
1243 Medical administrative assistants,0.5275,24.33,0.7075,17040,Other
"7204 Contractors and supervisors, carpentry trades",0.045,28.85,0.7075,6135,Other
"7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",0.045,35,0.7075,12680,Other
"2274 Engineer officers, water transport",0.16,36.01,0.715,160,Other
1226 Conference and event planners,0,21.63,0.7175,3395,Other
"8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0.1275,25.48,0.7175,6820,Other
3211 Medical laboratory technologists,0.9625,39,0.72,5865,Other
7311 Construction millwrights and industrial mechanics,0.1475,28.5,0.7225,15685,Other
"9461 Process control and machine operators, food and beverage processing",0.14,16,0.725,12605,Other
"7384 Other trades and related occupations, n.e.c.",0.1,23.5,0.7275,1825,Other
7611 Construction trades helpers and labourers,0.1,20,0.7275,58855,Other
7612 Other trades helpers and labourers,0.1,18,0.7275,2715,Other
4311 Police officers (except commissioned),0.6125,44.23,0.73,20615,Other
"7203 Contractors and supervisors, pipefitting trades",0.21,43.27,0.73,1315,Other
